scenario,protocol,mobility,maxPaths,numNodes,numFlows,meanVelMin,meanVelMax,pktInterval,simTime,seed,deliveryRatio,avgDelayMs,throughputMbps,routingOverhead,totalEnergyJ,nodesDead
hetero-E10,AODV,GAUSS,1,15,0,15,25,0.25,300,1,26.4753,178.4276,0.0620,32946,108.0269,0
hetero-E10,AODV,GAUSS,1,15,0,15,25,0.25,300,10,45.9368,310.2311,0.1076,40424,108.1802,0
hetero-E10,AODV,GAUSS,1,15,0,15,25,0.25,300,2,27.2560,117.1929,0.0638,25203,108.1457,0
hetero-E10,AODV,GAUSS,1,15,0,15,25,0.25,300,3,49.2746,177.0686,0.1154,36075,108.1180,0
hetero-E10,AODV,GAUSS,1,15,0,15,25,0.25,300,4,26.3216,117.9177,0.0617,32143,108.0792,0
hetero-E10,AODV,GAUSS,1,15,0,15,25,0.25,300,5,36.8761,171.7176,0.0864,23402,108.1774,0
hetero-E10,AODV,GAUSS,1,15,0,15,25,0.25,300,6,40.9208,248.2968,0.0959,29481,108.0784,0
hetero-E10,AODV,GAUSS,1,15,0,15,25,0.25,300,7,29.9238,85.7867,0.0701,24094,108.2053,0
hetero-E10,AODV,GAUSS,1,15,0,15,25,0.25,300,8,54.1554,280.1300,0.1269,41825,108.1511,0
hetero-E10,AODV,GAUSS,1,15,0,15,25,0.25,300,9,30.4094,204.8313,0.0712,26832,108.1155,0
hetero-E20,AODV,GAUSS,1,15,0,15,25,0.25,300,1,26.4753,178.4276,0.0620,32946,216.6902,0
hetero-E20,AODV,GAUSS,1,15,0,15,25,0.25,300,10,45.9368,310.2311,0.1076,40424,217.2796,0
hetero-E20,AODV,GAUSS,1,15,0,15,25,0.25,300,2,27.2560,117.1929,0.0638,25203,216.5673,0
hetero-E20,AODV,GAUSS,1,15,0,15,25,0.25,300,3,49.2746,177.0686,0.1154,36075,216.1963,0
hetero-E20,AODV,GAUSS,1,15,0,15,25,0.25,300,4,26.3216,117.9177,0.0617,32143,216.7731,0
hetero-E20,AODV,GAUSS,1,15,0,15,25,0.25,300,5,36.8761,171.7176,0.0864,23402,216.7673,0
